Word,Count
#AppBarLayoutStates_state_collapsible,4
com.dsespace.rvwg:layout_constraintHorizontal_chainStyle,4
#NavigationView_itemTextAppearance,4
<tr><td><code>wrap_content</code></td><td>0</td><td></td></tr>,4
com.dsespace.rvwg.R.attr#layout_goneMarginStart},4
#Toolbar_titleMarginStart,4
content,4
#AppCompatTheme_textAppearancePopupMenuHeader,4
<tr><td><code>never</code></td><td>0</td><td></td></tr>,4
#DrawerArrowToggle_thickness,4
#ConstraintLayout_Layout_layout_constraintVertical_weight,4
<tr><td><code>none</code></td><td>1</td><td></td></tr>,4
#NavigationView_elevation,4
#CoordinatorLayout_Layout_layout_anchorGravity,4
#ColorStateListItem_android_color,4
